,INDB
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.6324786324786327
Growth 1yr High Est,0.5481283422459893
Growth 1yr Consensus Est,0.590303487362311
Growth 2yr Low Est,0.3973911487000493
Growth 2yr High Est,0.35782928338551623
Growth 2yr Consensus Est,0.3776102160427828
Growth 5yr Low Est,0.12349637116277368
Growth 5yr High Est,0.09587892740704385
Growth 5yr Consensus Est,0.10968764928490876
Growth 5yr Actual/Est,0.10304809726780848
Growth 3yr Historic,0.044591493591641634
