,OMC
% Below High,0.136
% Held by Institutions,0.9301999999999999
52-Wk Range,['61.31 - 91.61']
Annual Dividend $,2.8
Annual Dividend %,0.0354
Ask,79.06
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,70.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,79.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-12 00:00:00
"EPS (TTM, GAAP)",6.13
Ex-dividend,2022-09-20 00:00:00
Ex-dividend Date,09/20/22
Historical Volatility,0.326
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,79.15
Market Cap,16.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.91
Prev Close,79.15
Shares Outstanding,203.9M
Short Interest,0.0453
Today's Open,
Volume,1.0
Volume 10-day Avg,1096085.0
Volume Past Day,(Light)
