,OMC
Price/Earnings (TTM),12.90696
Price/Sales (TTM),1.13051
Price/Book (MRQ),5.87613
Price/Cash Flow (TTM),10.16562
5yr Low,44.5
5yr High,91.61
5yr Avg Return,0.029299999999999996
EPS Growth 5yr,0.059600400000000005
Revenue Growth 5yr,-0.0150745
Dividend Growth 5yr,0.0554136
Short Int Current Month,9103537.0
Short Int Prev Month,9429917.0
Short Int Pct of Float,0.0452652
Days to Cover,7.22216
Float,201.1498
Shares Outstanding,203.9161
Institutions Holding Shares,1072.0
% Held by Institutions,0.930172
FCF Growth 5yr,-0.5535742316637148
