,TROX
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.05853658536585371
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.029268292682926855
Growth 2yr Low Est,-0.09745981791615144
Growth 2yr High Est,-0.01224489795918371
Growth 2yr Consensus Est,-0.05485235793766757
Growth 5yr Low Est,1.1202119732410842
Growth 5yr High Est,0.825170068027211
Growth 5yr Consensus Est,0.9726910206341475
Growth 5yr Actual/Est,0.7907594192078995
Growth 3yr Historic,0.8201937689969603
