,CMBM
% Above Low,0.6411
% Held by Institutions,0.8981
52-Wk Range,['12.40 - 29.38']
Annual Dividend $,
Annual Dividend %,
Ask,20.45
Ask Size,10500.0
B/A Ratio,0.01904761904761905
B/A Size,200x10500
Beta,0.9
Bid,18.01
Bid Size,200.0
Closing Price,20.35
Day Change $,-0.02
Day Change %,-0.001
Day High,20.82
Day Low,19.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.41
Ex-dividend Date,No dividend
Historical Volatility,0.6940000000000001
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,550.2M
"P/E Ratio (TTM, GAAP)",49.27
Prev Close,20.37
Shares Outstanding,27.0M
Short Interest,0.0305
Today's Open,20.38
Volume,24813.0
Volume 10-day Avg,130519.0
Volume Past Day,(Light)
