,CMBM
Price/Earnings (TTM),49.27361
Price/Sales (TTM),1.88996
Price/Book (MRQ),4.1595
Price/Cash Flow (TTM),28.76855
5yr Low,3.57
5yr High,66.4
5yr Avg Return,0.37507500000000005
EPS Growth 5yr,0.7121536
Revenue Growth 5yr,0.13104939999999998
Dividend Growth 5yr,
Short Int Current Month,353085.0
Short Int Prev Month,452655.0
Short Int Pct of Float,0.030501900000000002
Days to Cover,1.66642
Float,11.66076
Shares Outstanding,27.03537
Institutions Holding Shares,160.0
% Held by Institutions,0.898142
FCF Growth 5yr,
