,NYCB
Price/Earnings (TTM),7.49331
Price/Sales (TTM),3.14077
Price/Book (MRQ),0.70633
Price/Cash Flow (TTM),7.18183
5yr Low,7.72
5yr High,14.53
5yr Avg Return,-0.032049999999999995
EPS Growth 5yr,0.0341602
Revenue Growth 5yr,0.0016817
Dividend Growth 5yr,0.0
Short Int Current Month,53576414.0
Short Int Prev Month,49040039.0
Short Int Pct of Float,0.1168756
Days to Cover,3.19861
Float,458.4053
Shares Outstanding,466.1358
Institutions Holding Shares,539.0
% Held by Institutions,0.614266
FCF Growth 5yr,-0.1188811188811189
