,NYCB
% Above Low,0.15789999999999998
% Held by Institutions,0.6143
52-Wk Range,['8.17 - 13.57']
Annual Dividend $,0.68
Annual Dividend %,0.0719
Ask,9.43
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.0
Bid,9.36
Bid Size,500.0
Change Since Close,-0.03| |(-0.32%)
Closing Price,9.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",1.26
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.322
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,9.43
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.49
Prev Close,9.46
Shares Outstanding,466.1M
Short Interest,0.11689999999999999
Today's Open,
Volume,1430.0
Volume 10-day Avg,8852082.0
Volume Past Day,(Light)
