,QCOM
% Above Low,0.1917
% Held by Institutions,0.7131000000000001
52-Wk Range,['101.93 - 193.58']
Annual Dividend $,3.0
Annual Dividend %,0.024300000000000002
Ask,121.47
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,121.46
Bid Size,100.0
Day Change $,-1.98
Day Change %,-0.016
Day High,123.45
Day Low,121.05
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",11.42
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.465
Last (size),100.0
Last (time),12:02p ET 11/28/22
Market Cap,136.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.81
Prev Close,123.45
Price,121.47
Shares Outstanding,1.1B
Short Interest,0.013500000000000002
Today's Open,122.16
Volume Past Day,(Light)
