,QCOM
Price/Earnings (TTM),10.80646
Price/Sales (TTM),3.13094
Price/Book (MRQ),7.68264
Price/Cash Flow (TTM),9.37076
5yr Low,48.56
5yr High,193.58
5yr Avg Return,0.16073333333333334
EPS Growth 5yr,0.4740914
Revenue Growth 5yr,0.1470629
Dividend Growth 5yr,0.053874000000000005
Short Int Current Month,15084687.0
Short Int Prev Month,13182981.0
Short Int Pct of Float,0.0134756
Days to Cover,1.34712
Float,1119.458
Shares Outstanding,1121.0
Institutions Holding Shares,2974.0
% Held by Institutions,0.7130719999999999
FCF Growth 5yr,0.7560312355211746
