,CMRX
% Above Low,0.7323000000000001
% Held by Institutions,0.6083
52-Wk Range,['1.27 - 7.42']
Annual Dividend $,
Annual Dividend %,
Ask,2.23
Ask Size,24800.0
B/A Ratio,0.004032258064516129
B/A Size,100x24800
Beta,1.1
Bid,2.16
Bid Size,100.0
Closing Price,2.2
Day Change $,-0.04
Day Change %,-0.0179
Day High,2.28
Day Low,2.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.74
Ex-dividend Date,No dividend
Historical Volatility,1.288
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,193.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",1.26
Prev Close,2.24
Shares Outstanding,88.0M
Short Interest,0.0401
Today's Open,2.25
Volume,358912.0
Volume 10-day Avg,1184612.0
Volume Past Day,(Light)
