,IGT
% Below High,0.2263
% Held by Institutions,0.475
52-Wk Range,['15.01 - 30.84']
Annual Dividend $,0.8
Annual Dividend %,0.0335
Ask,24.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,20.85
Bid Size,100.0
Closing Price,23.86
Day Change $,-0.01
Day Change %,-0.0004
Day High,24.08
Day Low,23.76
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",1.76
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.658
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.54
Prev Close,23.87
Shares Outstanding,200.3M
Short Interest,0.0341
Today's Open,23.91
Volume,332904.0
Volume 10-day Avg,1299365.0
Volume Past Day,(Light)
