,IGT
Price/Earnings (TTM),13.54327
Price/Sales (TTM),1.14277
Price/Book (MRQ),3.0209
Price/Cash Flow (TTM),4.81275
5yr Low,3.59
5yr High,32.95
5yr Avg Return,0.024533333333333348
EPS Growth 5yr,-0.21360420000000002
Revenue Growth 5yr,-0.045235399999999995
Dividend Growth 5yr,
Short Int Current Month,3382387.0
Short Int Prev Month,3878141.0
Short Int Pct of Float,0.034089100000000004
Days to Cover,1.71964
Float,99.22201
Shares Outstanding,200.296
Institutions Holding Shares,269.0
% Held by Institutions,0.475006
FCF Growth 5yr,0.2864476545511028
