,IGT
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.9263157894736844
Growth 1yr High Est,0.5384615384615383
Growth 1yr Consensus Est,0.7323886639676114
Growth 2yr Low Est,0.3019557089444925
Growth 2yr High Est,0.24173076923076914
Growth 2yr Consensus Est,0.2718432390876308
Growth 5yr Low Est,0.15097785447224624
Growth 5yr High Est,0.12086538461538457
Growth 5yr Consensus Est,0.1359216195438154
Growth 5yr Actual/Est,-2.4694943456844443
Growth 3yr Historic,-2.307303476946334
