,STR
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,12.058823529411764
Growth 1yr High Est,5.631578947368421
Growth 1yr Consensus Est,8.845201238390093
Growth 2yr Low Est,5.9280604133545305
Growth 2yr High Est,3.143170426065163
Growth 2yr Consensus Est,4.535615419709847
Growth 5yr Low Est,2.9640302066772652
Growth 5yr High Est,1.5715852130325816
Growth 5yr Consensus Est,2.2678077098549236
Growth 5yr Actual/Est,1.262589382935698
Growth 3yr Historic,0.9403225806451614
