,STR
% Below High,0.0679
% Held by Institutions,4.5644
52-Wk Range,['17.04 - 32.85']
Annual Dividend $,2.88
Annual Dividend %,0.0926
Ask,30.67
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.7
Bid,30.57
Bid Size,400.0
Day Change $,-0.48
Day Change %,-0.0154
Day High,30.98
Day Low,30.0
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",1.19
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.46
Last (size),100.0
Last (time),3:34p ET 11/28/22
Market Cap,387.9M
"P/E Ratio (TTM, GAAP)",26.19
Prev Close,31.1
Price,30.62
Shares Outstanding,12.7M
Short Interest,0.2979
Today's Open,30.31
Volume Past Day,(Heavy Day)
