,STR
Price/Earnings (TTM),26.19014
Price/Sales (TTM),8.99763
Price/Book (MRQ),11.76302
Price/Cash Flow (TTM),9.8879
5yr Low,6.4
5yr High,46.8
5yr Avg Return,0.0406
Short Int Current Month,3290853.0
Short Int Prev Month,3442641.0
Short Int Pct of Float,0.29787009999999997
Days to Cover,9.04374
Float,11.50346
Shares Outstanding,83.84083
Institutions Holding Shares,137.0
% Held by Institutions,4.564359
FCF Growth 5yr,-2.3207942408685907
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
