,IHRT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.8521400778210116
Growth 1yr High Est,-0.86
Growth 1yr Consensus Est,-0.8560700389105058
Growth 2yr Low Est,-0.95238582838419
Growth 2yr High Est,-1.2385714285714287
Growth 2yr Consensus Est,-1.0954786284778093
Growth 5yr Low Est,-0.63492388558946
Growth 5yr High Est,-0.8257142857142857
Growth 5yr Consensus Est,-0.7303190856518729
Growth 5yr Actual/Est,-0.8782458354169107
Growth 3yr Historic,-0.7418402709972856
