,IHRT
Price/Earnings (TTM),
Price/Sales (TTM),0.29851
Price/Book (MRQ),1.96776
Price/Cash Flow (TTM),5.02145
5yr Low,4.31
5yr High,28.24
5yr Avg Return,-0.07515000000000001
EPS Growth 5yr,
Revenue Growth 5yr,-0.1065719
Dividend Growth 5yr,
Short Int Current Month,5711774.0
Short Int Prev Month,5294423.0
Short Int Pct of Float,0.0482913
Days to Cover,5.103
Float,118.3463
Shares Outstanding,143.2391
Institutions Holding Shares,238.0
% Held by Institutions,0.9579040000000001
FCF Growth 5yr,-0.30925891550036916
