,IHRT
% Above Low,0.2482
% Held by Institutions,0.9579000000000001
52-Wk Range,['6.43 - 21.97']
Annual Dividend $,
Annual Dividend %,
Ask,12.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,7.76
Bid Size,200.0
Closing Price,8.02
Day Change $,-0.02
Day Change %,-0.0025
Day High,8.13
Day Low,7.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.63
Ex-dividend Date,No dividend
Historical Volatility,0.672
Last (size),1400.0
Last (time),1:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.04
Shares Outstanding,143.2M
Short Interest,0.0483
Today's Open,8.0
Volume,194613.0
Volume 10-day Avg,901791.0
Volume Past Day,(Light)
