,AMPS
% Above Low,0.6056
% Held by Institutions,0.4117
52-Wk Range,['4.26 - 14.72']
Annual Dividend $,
Annual Dividend %,
Ask,6.98
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,6.5
Bid Size,100.0
Closing Price,6.84
Day Change $,0.0
Day Change %,0.0
Day High,6.93
Day Low,6.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.07
Ex-dividend Date,No dividend
Historical Volatility,0.799
Last (size),562.0
Last (time),5:00p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",102.3
Prev Close,6.84
Shares Outstanding,158.8M
Short Interest,0.034300000000000004
Today's Open,6.84
Volume,161679.0
Volume 10-day Avg,1092070.0
Volume Past Day,(Light)
