,AMPS
Price/Earnings (TTM),102.3033
Price/Sales (TTM),11.40536
Price/Book (MRQ),3.15317
Price/Cash Flow (TTM),41.00436
5yr Low,4.26
5yr High,14.72
5yr Avg Return,-0.16139999999999996
Short Int Current Month,2285776.0
Short Int Prev Month,2361583.0
Short Int Pct of Float,0.0342962
Days to Cover,1.80766
Float,67.85561
Shares Outstanding,160.0369
Institutions Holding Shares,171.0
% Held by Institutions,0.411743
FCF Growth 5yr,0.44696372618547753
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
