,BMI
Price/Earnings (TTM),51.75747
Price/Sales (TTM),6.16773
Price/Book (MRQ),8.08043
Price/Cash Flow (TTM),36.63076
5yr Low,41.0
5yr High,117.97
5yr Avg Return,0.18704999999999994
EPS Growth 5yr,0.1329663
Revenue Growth 5yr,0.0511042
Dividend Growth 5yr,0.1206475
Short Int Current Month,1031356.0
Short Int Prev Month,1110032.0
Short Int Pct of Float,0.0354645
Days to Cover,6.42778
Float,29.09077
Shares Outstanding,29.26915
Institutions Holding Shares,375.0
% Held by Institutions,0.9358759999999999
FCF Growth 5yr,0.7207410651063751
