,BMI
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3575757575757579
Growth 1yr High Est,0.3742690058479532
Growth 1yr Consensus Est,0.36592238171185554
Growth 2yr Low Est,0.22566287878787894
Growth 2yr High Est,0.2722408859027
Growth 2yr Consensus Est,0.24895188234528948
Growth 5yr Low Est,0.12064393939393941
Growth 5yr High Est,0.1436505634332777
Growth 5yr Consensus Est,0.13214725141360856
Growth 5yr Actual/Est,0.1248310350888906
Growth 3yr Historic,0.07011466794075488
