,BMI
% Below High,0.0104
% Held by Institutions,0.9359000000000001
52-Wk Range,['73.20 - 117.97']
Annual Dividend $,0.9
Annual Dividend %,0.0077
Ask,119.06
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,108.0
Bid Size,100.0
Closing Price,116.74
Day Change $,-0.05
Day Change %,-0.0004
Day High,117.47
Day Low,116.42
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",2.26
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.33799999999999997
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",51.76
Prev Close,116.79
Shares Outstanding,29.3M
Short Interest,0.0355
Today's Open,116.9
Volume,32603.0
Volume 10-day Avg,98832.0
Volume Past Day,(Light)
