,HOPE
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.10429447852760743
Growth 1yr High Est,0.12650602409638556
Growth 1yr Consensus Est,0.1154002513119965
Growth 2yr Low Est,-0.017297205180640707
Growth 2yr High Est,0.08464338637974356
Growth 2yr Consensus Est,0.033673090599551425
Growth 5yr Low Est,0.12365034845863063
Growth 5yr High Est,0.15773522702445825
Growth 5yr Consensus Est,0.14069278774154445
Growth 5yr Actual/Est,0.14381734588627734
Growth 3yr Historic,0.12777777777777774
