,HOPE
Price/Earnings (TTM),7.53427
Price/Sales (TTM),2.65211
Price/Book (MRQ),0.82365
Price/Cash Flow (TTM),
5yr Low,7.03
5yr High,19.86
5yr Avg Return,-0.021133333333333327
EPS Growth 5yr,0.0862257
Revenue Growth 5yr,0.0607083
Dividend Growth 5yr,0.0447084
Short Int Current Month,3190430.0
Short Int Prev Month,3066675.0
Short Int Pct of Float,0.0280843
Days to Cover,5.43108
Float,113.5944
Shares Outstanding,119.4818
Institutions Holding Shares,304.0
% Held by Institutions,0.8634040000000001
FCF Growth 5yr,0.1292462444002406
