,HOPE
% Above Low,0.0913
% Held by Institutions,0.8634000000000001
52-Wk Range,['12.48 - 17.68']
Annual Dividend $,0.56
Annual Dividend %,0.041100000000000005
Ask,14.04
Ask Size,300.0
B/A Ratio,42.0
B/A Size,12600x300
Beta,1.2
Bid,9.94
Bid Size,12600.0
Closing Price,13.62
Day Change $,0.06
Day Change %,0.0044
Day High,13.73
Day Low,13.6
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",1.81
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.302
Last (size),55.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",7.53
Prev Close,13.56
Shares Outstanding,119.5M
Short Interest,0.0281
Today's Open,13.64
Volume,184384.0
Volume 10-day Avg,482676.0
Volume Past Day,(Light)
