,BDC
% Below High,0.037200000000000004
% Held by Institutions,1.056
52-Wk Range,['47.89 - 82.83']
Annual Dividend $,0.2
Annual Dividend %,0.0025
Ask,83.72
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,77.19
Bid Size,100.0
Closing Price,79.75
Day Change $,1.0
Day Change %,0.0127
Day High,79.86
Day Low,78.27
Dividend Pay Date,2022-10-06 00:00:00
"EPS (TTM, GAAP)",3.48
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.376
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.94
Prev Close,78.75
Shares Outstanding,42.8M
Short Interest,0.02
Today's Open,78.31
Volume,90089.0
Volume 10-day Avg,316912.0
Volume Past Day,(Light)
