,PAYO
Price/Earnings (TTM),
Price/Sales (TTM),3.31411
Price/Book (MRQ),3.62917
Price/Cash Flow (TTM),
5yr Low,3.33
5yr High,14.5
5yr Avg Return,-0.16323333333333334
Short Int Current Month,7978407.0
Short Int Prev Month,10130146.0
Short Int Pct of Float,0.028620999999999997
Days to Cover,1.87775
Float,295.7886
Shares Outstanding,350.1937
Institutions Holding Shares,210.0
% Held by Institutions,0.9241469999999999
FCF Growth 5yr,0.16249999999999995
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
