,PAYO
% Above Low,0.6631999999999999
% Held by Institutions,0.9240999999999999
52-Wk Range,['3.33 - 8.04']
Annual Dividend $,
Annual Dividend %,
Ask,5.54
Ask Size,2100.0
B/A Ratio,0.6666666666666666
B/A Size,1400x2100
Beta,
Bid,5.53
Bid Size,1400.0
Day Change $,0.01
Day Change %,0.0018
Day High,5.58
Day Low,5.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.06
Ex-dividend Date,No dividend
Historical Volatility,0.753
Last (size),400.0
Last (time),10:09a ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.52
Price,5.53
Shares Outstanding,350.2M
Short Interest,0.0286
Today's Open,5.5
Volume Past Day,(Light)
