,TPIC
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,1.6632653061224487
Growth 1yr High Est,-inf
Growth 1yr Consensus Est,-inf
Growth 2yr Low Est,0.7281843771991554
Growth 2yr High Est,-inf
Growth 2yr Consensus Est,-inf
Growth 5yr Low Est,0.4854562514661036
Growth 5yr High Est,-inf
Growth 5yr Consensus Est,-inf
Growth 5yr Actual/Est,1.5597473731276548
Growth 3yr Historic,1.7722222222222221
