,TPIC
Price/Earnings (TTM),
Price/Sales (TTM),0.29386
Price/Book (MRQ),5.25517
Price/Cash Flow (TTM),
5yr Low,8.46
5yr High,81.36
5yr Avg Return,0.15136666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1763902
Dividend Growth 5yr,
Short Int Current Month,3712593.0
Short Int Prev Month,4345481.0
Short Int Pct of Float,0.0907021
Days to Cover,4.07801
Float,40.93349
Shares Outstanding,41.95119
Institutions Holding Shares,283.0
% Held by Institutions,0.899613
FCF Growth 5yr,0.19859284839600264
