,TPIC
% Above Low,0.3357
% Held by Institutions,0.8996
52-Wk Range,['8.46 - 25.05']
Annual Dividend $,
Annual Dividend %,
Ask,11.32
Ask Size,3200.0
Ask close,13.9
B/A Ratio,1.3125
B/A Size,4200x3200
Beta,1.7
Bid,10.9
Bid Size,4200.0
Bid close,8.94
Change Since Close,-0.19| |(-1.68%)
Closing Price,11.3
Day Change $,-0.51
Day Change %,-0.0432
Day High,12.07
Day Low,11.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.97
Ex-dividend Date,No dividend
Historical Volatility,0.875
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,11.11
Market Cap,474.0M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,11.81
Shares Outstanding,42.0M
Short Interest,0.0907
Today's Open,11.68
Volume,609543.0
Volume 10-day Avg,561816.0
Volume Past Day,(Average)
