,IRTC
% Above Low,0.2022
% Held by Institutions,0.9901000000000001
52-Wk Range,['87.77 - 169.54']
Annual Dividend $,
Annual Dividend %,
Ask,108.01
Ask Size,1600.0
B/A Ratio,0.125
B/A Size,200x1600
Beta,1.4
Bid,87.01
Bid Size,200.0
Closing Price,105.52
Day Change $,0.01
Day Change %,0.0001
Day High,106.28
Day Low,102.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.33
Ex-dividend Date,No dividend
Historical Volatility,0.7340000000000001
Last (size),14.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,105.51
Shares Outstanding,30.1M
Short Interest,0.0451
Today's Open,105.1
Volume,115000.0
Volume 10-day Avg,378655.0
Volume Past Day,(Light)
