,IRTC
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.07162534435261714
Growth 1yr High Est,0.24013157894736836
Growth 1yr Consensus Est,0.15587846164999275
Growth 2yr Low Est,-0.06315905018872997
Growth 2yr High Est,-0.12661856065894184
Growth 2yr Consensus Est,-0.0948888054238359
Growth 5yr Low Est,0.31996293205808807
Growth 5yr High Est,0.34415905479880066
Growth 5yr Consensus Est,0.3320609934284444
Growth 5yr Actual/Est,0.17388955251009847
Growth 3yr Historic,0.23033872480075004
