,WBA
% Above Low,0.3429
% Held by Institutions,0.5661999999999999
52-Wk Range,['30.39 - 55.00']
Annual Dividend $,1.92
Annual Dividend %,0.0461
Ask,40.9
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.7
Bid,40.81
Bid Size,500.0
Closing Price,40.81
Day Change $,-0.85
Day Change %,-0.0204
Day High,41.66
Day Low,40.64
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",5.0
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.309
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,35.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.33
Prev Close,41.66
Shares Outstanding,864.8M
Short Interest,0.042800000000000005
Today's Open,41.43
Volume,4688234.0
Volume 10-day Avg,6133370.0
Volume Past Day,(Light)
