,SPXC
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.30630630630630606
Growth 1yr High Est,0.2259414225941423
Growth 1yr Consensus Est,0.2661238644502242
Growth 2yr Low Est,0.22211867039453237
Growth 2yr High Est,0.21877275907864102
Growth 2yr Consensus Est,0.2204457147365867
Growth 5yr Low Est,0.06810703037445776
Growth 5yr High Est,0.08306845830302936
Growth 5yr Consensus Est,0.07558774433874356
Growth 5yr Actual/Est,0.06777184289963653
Growth 3yr Historic,-0.038341097308488586
