,SPXC
% Below High,0.09970000000000001
% Held by Institutions,0.9451
52-Wk Range,['41.66 - 75.25']
Annual Dividend $,
Annual Dividend %,
Ask,67.79
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,67.73
Bid Size,200.0
Day Change $,-3.05
Day Change %,-0.0431
Day High,70.42
Day Low,67.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.34
Ex-dividend Date,No dividend
Historical Volatility,0.33799999999999997
Last (size),121.0
Last (time),3:07p ET 11/28/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",52.79
Prev Close,70.8
Price,67.75
Shares Outstanding,45.2M
Short Interest,0.0121
Today's Open,70.42
Volume Past Day,(Light)
