,SPXC
Price/Earnings (TTM),52.79445
Price/Sales (TTM),2.31712
Price/Book (MRQ),2.96512
Price/Cash Flow (TTM),29.27028
5yr Low,25.22
5yr High,75.25
5yr Avg Return,0.17253333333333334
EPS Growth 5yr,0.3318486
Revenue Growth 5yr,-0.036976
Dividend Growth 5yr,
Short Int Current Month,538059.0
Short Int Prev Month,716316.0
Short Int Pct of Float,0.0121381
Days to Cover,2.21549
Float,44.37982
Shares Outstanding,45.18702
Institutions Holding Shares,285.0
% Held by Institutions,0.945142
FCF Growth 5yr,-0.1517616754888996
