,MSGE
Price/Earnings (TTM),
Price/Sales (TTM),0.87935
Price/Book (MRQ),0.84445
Price/Cash Flow (TTM),
5yr Low,38.98
5yr High,121.42
5yr Avg Return,-0.20626666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1938836
Dividend Growth 5yr,
Short Int Current Month,1911069.0
Short Int Prev Month,1771131.0
Short Int Pct of Float,0.0792165
Days to Cover,7.54874
Float,24.42971
Shares Outstanding,34.54987
Institutions Holding Shares,250.0
% Held by Institutions,0.9035070000000001
FCF Growth 5yr,0.45000733232440543
