,MSGE
% Above Low,0.1957
% Held by Institutions,0.9035
52-Wk Range,['38.98 - 84.57']
Annual Dividend $,
Annual Dividend %,
Ask,47.5
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,46.61
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.75
Ex-dividend Date,No dividend
Historical Volatility,0.45299999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,46.61
Shares Outstanding,34.5M
Short Interest,0.07919999999999999
Today's Open,
Volume,69829.0
Volume 10-day Avg,244000.0
Volume Past Day,(Light)
