,PAYA
% Below High,0.10800000000000001
% Held by Institutions,0.9695999999999999
52-Wk Range,['4.51 - 9.26']
Annual Dividend $,
Annual Dividend %,
Ask,8.27
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.2
Bid,8.21
Bid Size,300.0
Day Change $,0.09
Day Change %,0.011000000000000001
Day High,8.34
Day Low,7.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.07
Ex-dividend Date,No dividend
Historical Volatility,0.62
Last (size),100.0
Last (time),10:08a ET 11/28/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",112.52
Prev Close,8.17
Price,8.26
Shares Outstanding,132.2M
Short Interest,0.0362
Today's Open,8.14
Volume Past Day,(Light)
