,PAYA
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.19999999999999996
Growth 1yr High Est,0.15151515151515138
Growth 1yr Consensus Est,0.17575757575757567
Growth 2yr Low Est,0.08611111111111108
Growth 2yr High Est,0.24681020733652304
Growth 2yr Consensus Est,0.16646065922381706
Growth 5yr Low Est,0.08611111111111108
Growth 5yr High Est,0.24681020733652304
Growth 5yr Consensus Est,0.16646065922381706
Growth 5yr Actual/Est,10.43947072072072
Growth 3yr Historic,10.333333333333334
