,PAYA
Price/Earnings (TTM),112.5189
Price/Sales (TTM),3.90088
Price/Book (MRQ),4.27361
Price/Cash Flow (TTM),26.28334
5yr Low,4.51
5yr High,15.0
5yr Avg Return,0.029175000000000003
Short Int Current Month,3119013.0
Short Int Prev Month,3143618.0
Short Int Pct of Float,0.0361645
Days to Cover,4.8247
Float,131.4469
Shares Outstanding,132.2145
Institutions Holding Shares,178.0
% Held by Institutions,0.9696349999999999
FCF Growth 5yr,1.0585888415883906
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
