,ATI
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-4.266666666666667
Growth 1yr High Est,-5.444444444444445
Growth 1yr Consensus Est,-4.855555555555556
Growth 2yr Low Est,-2.1358843537414964
Growth 2yr High Est,-2.6847222222222222
Growth 2yr Consensus Est,-2.4103032879818596
Growth 5yr Low Est,-1.456831065759637
Growth 5yr High Est,-1.6816468253968255
Growth 5yr Consensus Est,-1.5692389455782314
Growth 5yr Actual/Est,2.897855301264392
Growth 3yr Historic,-0.6699380165289256
