,ATI
% Below High,0.11410000000000001
% Held by Institutions,1.0117
52-Wk Range,['13.85 - 33.31']
Annual Dividend $,
Annual Dividend %,
Ask,33.0
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.2
Bid,10.0
Bid Size,500.0
Closing Price,29.51
Day Change $,0.27
Day Change %,0.0092
Day High,29.82
Day Low,29.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.09
Ex-dividend Date,No dividend
Historical Volatility,0.47500000000000003
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",311.68
Prev Close,29.24
Shares Outstanding,129.4M
Short Interest,0.1073
Today's Open,29.31
Volume,290417.0
Volume 10-day Avg,815595.0
Volume Past Day,(Light)
