,VERA
% Above Low,0.28690000000000004
% Held by Institutions,0.9395
52-Wk Range,['12.29 - 37.11']
Annual Dividend $,
Annual Dividend %,
Ask,15.81
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,
Bid,6.38
Bid Size,200.0
Closing Price,15.81
Day Change $,-0.54
Day Change %,-0.033
Day High,16.29
Day Low,15.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.95
Ex-dividend Date,No dividend
Historical Volatility,0.788
Last (size),108.0
Last (time),3:59p ET 11/28/22
Market Cap,437.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,16.35
Shares Outstanding,27.7M
Short Interest,0.0815
Today's Open,16.29
Volume,72240.0
Volume 10-day Avg,138559.0
Volume Past Day,(Light)
