,WAFD
Price/Earnings (TTM),10.33711
Price/Sales (TTM),3.4623
Price/Book (MRQ),1.15951
Price/Cash Flow (TTM),8.0084
5yr Low,20.01
5yr High,39.17
5yr Avg Return,0.025966666666666666
EPS Growth 5yr,0.1175182
Revenue Growth 5yr,0.039537499999999996
Dividend Growth 5yr,0.0999535
Short Int Current Month,1517992.0
Short Int Prev Month,1720332.0
Short Int Pct of Float,0.023610000000000003
Days to Cover,4.48241
Float,64.30709
Shares Outstanding,65.30958
Institutions Holding Shares,313.0
% Held by Institutions,0.843989
FCF Growth 5yr,1.2974921169365614
