,WAFD
% Below High,0.1198
% Held by Institutions,0.8440000000000001
52-Wk Range,['29.46 - 39.17']
Annual Dividend $,0.96
Annual Dividend %,0.0274
Ask,34.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,34.27
Bid Size,100.0
Closing Price,34.48
Day Change $,-0.56
Day Change %,-0.016
Day High,35.1
Day Low,34.28
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.39
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.275
Last (size),196.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.34
Prev Close,35.04
Shares Outstanding,65.3M
Short Interest,0.0236
Today's Open,34.86
Volume,310485.0
Volume 10-day Avg,383775.0
Volume Past Day,(Below Average)
