,INST
Price/Earnings (TTM),
Price/Sales (TTM),7.43019
Price/Book (MRQ),2.68728
Price/Cash Flow (TTM),37.71381
5yr Low,15.68
5yr High,29.59
5yr Avg Return,0.0189
Short Int Current Month,2918525.0
Short Int Prev Month,2738736.0
Short Int Pct of Float,0.1857254
Days to Cover,10.64262
Float,140.2089
Shares Outstanding,142.503
Institutions Holding Shares,128.0
% Held by Institutions,0.981228
FCF Growth 5yr,-1.5573439622076048
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
