,INST
% Below High,0.0697
% Held by Institutions,0.9812000000000001
52-Wk Range,['15.68 - 25.84']
Annual Dividend $,
Annual Dividend %,
Ask,24.5
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,24.04
Day Change $,0.34
Day Change %,0.0143
Day High,24.22
Day Low,23.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.35
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.7
Shares Outstanding,142.5M
Short Interest,0.1857
Today's Open,23.85
Volume,64937.0
Volume 10-day Avg,185973.0
Volume Past Day,(Light)
