,THFF
Price/Earnings (TTM),9.7149
Price/Sales (TTM),2.85941
Price/Book (MRQ),1.33725
Price/Cash Flow (TTM),8.61501
5yr Low,27.62
5yr High,53.05
5yr Avg Return,0.005700000000000002
EPS Growth 5yr,0.0519381
Revenue Growth 5yr,0.0683024
Dividend Growth 5yr,0.013757600000000002
Short Int Current Month,106103.0
Short Int Prev Month,128152.0
Short Int Pct of Float,0.0096808
Days to Cover,2.7337
Float,10.96018
Shares Outstanding,12.022
Institutions Holding Shares,201.0
% Held by Institutions,0.736698
FCF Growth 5yr,0.20819257402365063
