,THFF
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.532258064516129
Growth 1yr High Est,0.571808510638298
Growth 1yr Consensus Est,0.5520332875772135
Growth 2yr Low Est,0.21612903225806446
Growth 2yr High Est,0.2512172840839544
Growth 2yr Consensus Est,0.23367315817100942
Growth 5yr Low Est,0.10806451612903223
Growth 5yr High Est,0.1256086420419772
Growth 5yr Consensus Est,0.11683657908550471
Growth 5yr Actual/Est,0.10408160043047615
Growth 3yr Historic,0.014277822418642006
