,THFF
% Below High,0.036699999999999997
% Held by Institutions,0.7367
52-Wk Range,['41.50 - 49.90']
Annual Dividend $,1.08
Annual Dividend %,0.022099999999999998
Ask,48.08
Ask Size,200.0
Ask close,59.97
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,48.03
Bid Size,100.0
Bid close,37.37
Change Since Close,0.00| |(0.00%)
Closing Price,48.07
Day Change $,-0.72
Day Change %,-0.0148
Day High,48.91
Day Low,47.86
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",5.02
Ex-dividend,2023-01-05 00:00:00
Ex-dividend Date,01/05/23
Historical Volatility,0.18
Last (size),471.0
Last (time),4:00p ET 11/28/22
Last Trade,48.07
Market Cap,577.9M
"P/E Ratio (TTM, GAAP)",9.71
Prev Close,48.79
Shares Outstanding,12.0M
Short Interest,0.0097
Today's Open,48.87
Volume,14805.0
Volume 10-day Avg,29364.0
Volume Past Day,(Light)
