,ATSG
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.41104294478527614
Growth 1yr High Est,0.3764705882352941
Growth 1yr Consensus Est,0.39375676651028513
Growth 2yr Low Est,0.22726060282742067
Growth 2yr High Est,0.2544746103569633
Growth 2yr Consensus Est,0.24086760659219197
Growth 5yr Low Est,0.15150706855161378
Growth 5yr High Est,0.1619869049889334
Growth 5yr Consensus Est,0.15674698677027357
Growth 5yr Actual/Est,0.14591900998045193
Growth 3yr Historic,0.026047281687971657
