,ATSG
% Above Low,0.2183
% Held by Institutions,0.9684999999999999
52-Wk Range,['23.32 - 34.54']
Annual Dividend $,
Annual Dividend %,
Ask,28.72
Ask Size,100.0
B/A Ratio,16.0
B/A Size,1600x100
Beta,0.7
Bid,28.1
Bid Size,1600.0
Closing Price,28.41
Day Change $,0.16
Day Change %,0.005699999999999999
Day High,28.48
Day Low,28.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.3
Ex-dividend Date,No dividend
Historical Volatility,0.363
Last (size),20.0
Last (time),12:59p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.38
Prev Close,28.25
Shares Outstanding,72.7M
Short Interest,0.0296
Today's Open,28.2
Volume,99032.0
Volume 10-day Avg,235950.0
Volume Past Day,(Light)
