,ATSG
Price/Earnings (TTM),12.37801
Price/Sales (TTM),1.03579
Price/Book (MRQ),1.44163
Price/Cash Flow (TTM),3.71466
5yr Low,13.2
5yr High,34.54
5yr Avg Return,0.038933333333333334
EPS Growth 5yr,0.5513791
Revenue Growth 5yr,0.1766664
Dividend Growth 5yr,
Short Int Current Month,2097164.0
Short Int Prev Month,2098536.0
Short Int Pct of Float,0.0295558
Days to Cover,7.22579
Float,71.34606
Shares Outstanding,72.7284
Institutions Holding Shares,251.0
% Held by Institutions,0.9684900000000001
FCF Growth 5yr,-1.3600775689383282
