,BLDR
Price/Earnings (TTM),3.70254
Price/Sales (TTM),0.3872
Price/Book (MRQ),1.7259
Price/Cash Flow (TTM),2.66632
5yr Low,9.0
5yr High,86.48
5yr Avg Return,0.39415
EPS Growth 5yr,0.4617213
Revenue Growth 5yr,0.2558939
Dividend Growth 5yr,
Short Int Current Month,6279869.0
Short Int Prev Month,6824134.0
Short Int Pct of Float,0.043417899999999995
Days to Cover,2.9087
Float,135.7749
Shares Outstanding,147.1757
Institutions Holding Shares,647.0
% Held by Institutions,1.0188540000000001
FCF Growth 5yr,2.4126875755779498
