,BLDR
% Above Low,0.2374
% Held by Institutions,1.0189
52-Wk Range,['48.91 - 86.48']
Annual Dividend $,
Annual Dividend %,
Ask,67.64
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.0
Bid,55.5
Bid Size,100.0
Closing Price,60.52
Day Change $,0.05
Day Change %,0.0008
Day High,61.36
Day Low,60.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.35
Ex-dividend Date,No dividend
Historical Volatility,0.526
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.7
Prev Close,60.47
Shares Outstanding,147.2M
Short Interest,0.0434
Today's Open,60.19
Volume,510719.0
Volume 10-day Avg,1668363.0
Volume Past Day,(Light)
