,BLDR
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,7.720000000000001
Growth 1yr High Est,7.927884615384615
Growth 1yr Consensus Est,7.823942307692308
Growth 2yr Low Est,3.4586238532110096
Growth 2yr High Est,3.7574264218549356
Growth 2yr Consensus Est,3.6080251375329726
Growth 5yr Low Est,1.7293119266055048
Growth 5yr High Est,1.8787132109274678
Growth 5yr Consensus Est,1.8040125687664863
Growth 5yr Actual/Est,0.7446084124874689
Growth 3yr Historic,0.7171907040328094
