,MXL
Price/Earnings (TTM),23.60521
Price/Sales (TTM),2.60731
Price/Book (MRQ),4.56173
Price/Cash Flow (TTM),13.48169
5yr Low,7.79
5yr High,77.89
5yr Avg Return,0.17801666666666666
EPS Growth 5yr,-0.1027904
Revenue Growth 5yr,0.181362
Dividend Growth 5yr,
Short Int Current Month,6232528.0
Short Int Prev Month,6555132.0
Short Int Pct of Float,0.0858863
Days to Cover,10.61307
Float,72.61505
Shares Outstanding,78.56592
Institutions Holding Shares,371.0
% Held by Institutions,0.914881
FCF Growth 5yr,0.5434221184736522
