,MDB
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.6634615384615385
Growth 1yr High Est,-0.8137254901960784
Growth 1yr Consensus Est,-0.7385935143288085
Growth 2yr Low Est,-0.5460164835164836
Growth 2yr High Est,-2.6700206398348816
Growth 2yr Consensus Est,-1.6080185616756826
Growth 5yr Low Est,-0.2730082417582418
Growth 5yr High Est,-1.3350103199174408
Growth 5yr Consensus Est,-0.8040092808378414
Growth 5yr Actual/Est,-0.560863846226066
Growth 3yr Historic,-0.10351010101010102
