,MDB
% Above Low,0.0932
% Held by Institutions,0.9074
52-Wk Range,['135.15 - 570.58']
Annual Dividend $,
Annual Dividend %,
Ask,161.94
Ask Size,400.0
Ask close,157.77
B/A Ratio,0.25
B/A Size,100x400
Beta,1.0
Bid,143.5
Bid Size,100.0
Bid close,138.21
Change Since Close,-2.75| |(-1.86%)
Closing Price,147.75
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.37
Ex-dividend Date,No dividend
Historical Volatility,0.903
Last (size),6.0
Last (time),1:00p ET 11/25/22
Last Trade,145.0
Market Cap,10.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,147.75
Shares Outstanding,68.7M
Short Interest,0.058899999999999994
Today's Open,
Volume,8.0
Volume 10-day Avg,1961073.0
Volume Past Day,(Light)
